id,first_name,last_name,is_retired,previous_employers,marital_status,relatives
100,Janenna,Dex,0,"Dex,Dex,Dex",3,"{spouse: line.last_name, daughter: line.first_name}"
101,Mildrid,Granoff,0,"Granoff,Granoff,Granoff",0,"{spouse: line.last_name, daughter: line.first_name}"
102,Doro,Jaylene,0,"Jaylene,Jaylene,Jaylene",2,"{spouse: line.last_name, daughter: line.first_name}"
103,Bobbi,Loring,1,"Loring,Loring,Loring",3,"{spouse: line.last_name, daughter: line.first_name}"
104,Lesly,Jagir,0,"Jagir,Jagir,Jagir",0,"{spouse: line.last_name, daughter: line.first_name}"
105,Carree,Zaslow,0,"Zaslow,Zaslow,Zaslow",1,"{spouse: line.last_name, daughter: line.first_name}"
106,Gwenneth,Philoo,0,"Philoo,Philoo,Philoo",3,"{spouse: line.last_name, daughter: line.first_name}"
107,Elora,Thilda,1,"Thilda,Thilda,Thilda",0,"{spouse: line.last_name, daughter: line.first_name}"
108,Nataline,Bigner,0,"Bigner,Bigner,Bigner",2,"{spouse: line.last_name, daughter: line.first_name}"
109,Cathie,Emerson,0,"Emerson,Emerson,Emerson",3,"{spouse: line.last_name, daughter: line.first_name}"
110,Noelle,Chapland,0,"Chapland,Chapland,Chapland",2,"{spouse: line.last_name, daughter: line.first_name}"
111,Alyda,Bury,0,"Bury,Bury,Bury",1,"{spouse: line.last_name, daughter: line.first_name}"
112,Basia,Socha,1,"Socha,Socha,Socha",0,"{spouse: line.last_name, daughter: line.first_name}"
113,Wilma,Colleen,0,"Colleen,Colleen,Colleen",3,"{spouse: line.last_name, daughter: line.first_name}"
114,Flo,O'Rourke,1,"O'Rourke,O'Rourke,O'Rourke",2,"{spouse: line.last_name, daughter: line.first_name}"
115,Leontine,Ferrell,0,"Ferrell,Ferrell,Ferrell",1,"{spouse: line.last_name, daughter: line.first_name}"
116,Carmela,Love,1,"Love,Love,Love",1,"{spouse: line.last_name, daughter: line.first_name}"
117,Minne,Aprile,1,"Aprile,Aprile,Aprile",3,"{spouse: line.last_name, daughter: line.first_name}"
118,Ana,Vanni,1,"Vanni,Vanni,Vanni",3,"{spouse: line.last_name, daughter: line.first_name}"
119,Phedra,Raychel,0,"Raychel,Raychel,Raychel",0,"{spouse: line.last_name, daughter: line.first_name}"
120,Dorothy,Maiah,0,"Maiah,Maiah,Maiah",2,"{spouse: line.last_name, daughter: line.first_name}"
121,Atlanta,Lea,0,"Lea,Lea,Lea",2,"{spouse: line.last_name, daughter: line.first_name}"
122,Lolita,Kamaria,1,"Kamaria,Kamaria,Kamaria",2,"{spouse: line.last_name, daughter: line.first_name}"
123,Angela,Sidonius,1,"Sidonius,Sidonius,Sidonius",3,"{spouse: line.last_name, daughter: line.first_name}"
124,Frances,Blake,0,"Blake,Blake,Blake",3,"{spouse: line.last_name, daughter: line.first_name}"
125,Lesly,Junie,1,"Junie,Junie,Junie",1,"{spouse: line.last_name, daughter: line.first_name}"
126,Violet,Zetta,1,"Zetta,Zetta,Zetta",2,"{spouse: line.last_name, daughter: line.first_name}"
127,Vonny,Boehike,0,"Boehike,Boehike,Boehike",2,"{spouse: line.last_name, daughter: line.first_name}"
128,Gabriellia,Candy,1,"Candy,Candy,Candy",0,"{spouse: line.last_name, daughter: line.first_name}"
129,Rosene,Alarise,1,"Alarise,Alarise,Alarise",0,"{spouse: line.last_name, daughter: line.first_name}"
130,Doralynne,Zamora,1,"Zamora,Zamora,Zamora",1,"{spouse: line.last_name, daughter: line.first_name}"
131,Gusella,Faust,1,"Faust,Faust,Faust",3,"{spouse: line.last_name, daughter: line.first_name}"
132,Kenna,Deny,0,"Deny,Deny,Deny",3,"{spouse: line.last_name, daughter: line.first_name}"
133,Dotty,Marden,0,"Marden,Marden,Marden",3,"{spouse: line.last_name, daughter: line.first_name}"
134,Layla,Artie,0,"Artie,Artie,Artie",3,"{spouse: line.last_name, daughter: line.first_name}"
135,Louella,Abbot,1,"Abbot,Abbot,Abbot",0,"{spouse: line.last_name, daughter: line.first_name}"
136,Odessa,Pauly,0,"Pauly,Pauly,Pauly",1,"{spouse: line.last_name, daughter: line.first_name}"
137,Christal,Lumbard,1,"Lumbard,Lumbard,Lumbard",1,"{spouse: line.last_name, daughter: line.first_name}"
138,Jere,Roarke,0,"Roarke,Roarke,Roarke",0,"{spouse: line.last_name, daughter: line.first_name}"
139,Fanny,Teddman,1,"Teddman,Teddman,Teddman",3,"{spouse: line.last_name, daughter: line.first_name}"
